Record_ID,Timestamp,Latitude,Longitude,Road_ID,Vehicle_Count,Avg_Speed(km/h),Vehicle_Type,Traffic_Density,Weather,Visibility(m),Road_Condition,Accident_Occurred,Accident_Severity,Alert_Generated,temperature,humidity
1666,30-04-2022 05:06,35.18705242,70.86513213,RD-493,13,90,Bus,Medium,Snow,7855,Under Maintenance,No,-,Yes,45.54,33.12
1667,16-05-2022 18:59,28.9369745,96.41856222,RD-89,58,40,Mixed,High,Clear,2166,Dry,No,-,No,26.26,81.58
1668,28-11-2023 08:52,21.32089221,71.18684523,RD-377,121,12,Car,Medium,Clear,1663,Wet,No,-,No,47.92,57.5
1669,31-01-2018 22:38,17.64489095,87.19277068,RD-264,206,40,Car,Low,Storm,9138,Wet,No,-,No,23.49,45.74
1670,23-01-2021 16:37,10.7006973,87.15432741,RD-62,179,111,Bike,Very High,Storm,3223,Wet,No,-,Yes,44.52,44.51
1671,19-07-2023 20:59,31.80850442,95.00613915,RD-194,127,29,Mixed,Low,Storm,941,Dry,No,-,No,31.42,58.98
1672,10-09-2020 18:34,12.91038709,77.37084278,RD-21,84,44,Bus,Very High,Rain,9430,Wet,No,-,No,46.34,83.21
1673,16-06-2023 22:46,22.93545905,77.62834539,RD-220,330,112,Bike,Low,Snow,4437,Slippery,No,-,Yes,46.04,52.7
1674,26-06-2018 04:54,26.48109794,92.54250588,RD-143,214,99,Bus,Low,Rain,6999,Slippery,No,-,No,44.18,74.98
1675,08-08-2019 19:48,29.57826505,96.37869103,RD-285,93,8,Mixed,Medium,Storm,6335,Dry,No,-,No,43.7,35.81
1676,02-09-2021 12:52,10.41696319,68.87402458,RD-136,43,107,Bike,Very High,Fog,483,Wet,Yes,-,No,29.14,58.56
1677,20-02-2018 15:41,8.30989803,86.4241907,RD-67,362,113,Truck,Very High,Snow,2965,Slippery,No,-,No,22.43,89.5
1678,23-02-2020 14:45,28.47424638,75.06554986,RD-83,23,47,Car,Medium,Rain,3307,Slippery,No,-,No,32.09,76.23
1679,23-06-2018 08:13,21.17734697,89.11090635,RD-300,446,78,Mixed,Medium,Clear,6006,Wet,No,-,Yes,25.21,42.63
1680,01-12-2020 23:32,13.25292544,90.40885127,RD-434,341,31,Mixed,High,Snow,2429,Dry,No,-,No,40.85,60.09
1681,16-08-2023 23:16,36.47879495,90.11324115,RD-131,212,109,Bus,Very High,Fog,9808,Under Maintenance,No,-,No,30.38,44.02
1682,12-08-2021 07:52,30.9492705,80.62982411,RD-3,266,42,Truck,Low,Fog,8149,Dry,No,-,No,49.27,54.57
1683,01-04-2023 00:12,24.77687877,72.57624021,RD-170,247,85,Truck,Medium,Storm,3328,Under Maintenance,Yes,Minor,No,39.23,76.81
1684,20-05-2019 21:30,28.36110569,84.9581743,RD-239,273,113,Mixed,Very High,Storm,6932,Dry,No,-,No,44.67,76.27
1685,13-02-2022 03:51,12.49568024,90.88210412,RD-364,411,42,Mixed,Medium,Clear,6271,Under Maintenance,No,-,No,23.98,43.69
1686,29-11-2021 21:47,35.90453066,94.45365497,RD-480,398,68,Car,Very High,Fog,378,Dry,No,-,Yes,45.86,85.33
1687,06-02-2022 12:33,36.89464529,81.12668539,RD-80,392,93,Truck,Low,Storm,4222,Wet,No,-,No,47.68,65.55
1688,14-08-2023 10:41,26.80491978,75.12458652,RD-21,137,21,Mixed,Medium,Rain,7212,Under Maintenance,Yes,Minor,No,34.61,52.8
1689,06-03-2022 05:08,27.38106544,71.44585172,RD-79,232,17,Car,High,Storm,2564,Dry,No,-,No,38.19,60.12
1690,20-03-2023 18:01,28.42929725,91.13043213,RD-476,76,89,Bus,Low,Clear,522,Wet,No,-,No,42.94,66.3
1691,31-10-2020 22:42,27.30780048,83.52362365,RD-166,159,83,Truck,Medium,Clear,8206,Wet,Yes,-,No,25.25,63.59
1692,23-02-2022 11:57,20.71768402,87.55133868,RD-306,143,116,Bike,High,Rain,213,Wet,No,-,No,35.08,59.18
1693,10-06-2021 22:42,23.67961088,72.61797162,RD-27,353,28,Bike,Medium,Snow,8637,Dry,No,-,No,31.96,60.3
1694,10-04-2019 17:14,16.19905973,68.1907857,RD-397,420,11,Mixed,Low,Fog,1900,Dry,No,-,Yes,24.39,40.58
1695,04-07-2022 21:21,20.95858958,96.0598666,RD-478,222,68,Mixed,Low,Clear,1847,Under Maintenance,No,-,No,31.03,78.76
1696,30-09-2021 20:47,20.64699587,91.51575757,RD-321,46,113,Car,Low,Fog,5853,Under Maintenance,No,-,Yes,22.05,62.51
1697,01-12-2021 12:37,16.35607225,79.60076588,RD-316,130,67,Mixed,High,Rain,9107,Wet,No,-,No,20.77,37.86
1698,22-07-2019 20:33,30.81443977,81.25728576,RD-432,235,106,Mixed,Very High,Rain,9375,Under Maintenance,No,-,No,24.05,75.97
1699,16-01-2021 04:46,19.88048813,94.94289544,RD-339,300,108,Car,Low,Snow,7589,Wet,No,-,No,48.89,85.95
1700,23-12-2019 06:40,23.99974309,74.02185823,RD-155,392,26,Bike,Low,Clear,8866,Wet,No,-,No,36.49,86.84
1701,20-10-2021 09:00,12.52662517,91.28203188,RD-252,45,110,Car,Very High,Rain,5404,Wet,No,-,Yes,48.97,52.14
1702,28-04-2022 17:40,21.77404011,68.51995631,RD-405,198,57,Truck,High,Storm,1983,Wet,No,-,No,32.97,38.13
1703,21-12-2018 17:46,30.0822046,93.39567081,RD-294,256,78,Truck,High,Fog,4422,Slippery,No,-,No,29.35,61.1
1704,20-09-2021 21:38,20.89124353,85.08923619,RD-282,227,101,Mixed,Very High,Fog,8585,Wet,No,-,No,35.18,36.76
1705,02-05-2019 11:44,24.17450013,81.84976082,RD-184,389,16,Mixed,Low,Storm,2348,Wet,Yes,-,No,33.19,86.04
1706,21-07-2021 06:02,28.34949094,88.48727336,RD-38,266,76,Bike,High,Fog,9481,Slippery,No,-,No,23.17,41.01
1707,25-04-2020 03:15,19.28029166,69.96188281,RD-402,185,108,Bike,Very High,Storm,2451,Slippery,No,-,No,39.22,45.17
1708,28-06-2019 02:01,18.24519402,73.67077475,RD-363,220,26,Bus,High,Fog,1096,Under Maintenance,No,-,No,26.48,54.4
1709,16-06-2020 06:02,10.48651678,79.80256738,RD-163,227,107,Truck,Medium,Rain,2378,Under Maintenance,No,-,No,38.59,52.99
1710,08-06-2018 14:56,24.88589944,85.91811913,RD-270,352,43,Truck,Medium,Snow,5320,Wet,No,-,Yes,39.51,77.68
1711,06-12-2021 16:21,28.50179792,72.19190042,RD-113,497,51,Bus,Very High,Clear,2282,Wet,No,-,No,24.56,57.38
1712,12-06-2023 12:58,24.85632138,79.00527673,RD-490,491,68,Bus,Low,Clear,9175,Dry,No,-,No,21.84,40.25
1713,26-01-2021 06:54,16.22223501,75.56589191,RD-95,356,48,Truck,Medium,Clear,9402,Slippery,No,-,No,43.42,46.03
1714,17-08-2022 05:24,15.60776941,86.72151165,RD-267,332,20,Mixed,Low,Clear,3532,Wet,No,-,No,33.79,60.55
1715,12-10-2020 00:09,12.62514078,94.65907504,RD-35,496,63,Truck,High,Clear,9702,Slippery,No,-,No,21.74,38.85
1716,01-05-2021 20:53,9.362734099,72.81339487,RD-403,86,116,Bus,Very High,Storm,9672,Wet,Yes,Minor,No,49.85,66.7
1717,20-08-2019 22:52,20.37946305,73.48857317,RD-259,432,38,Bike,Medium,Rain,3998,Under Maintenance,No,-,No,21.73,63.94
1718,23-02-2022 23:00,12.65508932,85.41532591,RD-82,473,50,Car,Very High,Snow,4692,Dry,No,-,No,40.85,72.88
1719,08-03-2021 21:00,28.03313333,81.15331275,RD-213,12,84,Bike,Very High,Clear,5863,Slippery,Yes,Major,No,49.51,86.26
1720,17-12-2019 10:17,35.89025728,88.82503356,RD-279,35,82,Bike,Very High,Fog,3724,Dry,No,-,No,27.18,84.74
1721,13-01-2018 03:49,10.13096511,76.34867449,RD-275,462,74,Bus,Very High,Fog,3363,Wet,No,-,No,24.27,86.76
1722,14-02-2022 15:28,33.89571773,83.79976887,RD-207,448,59,Truck,Very High,Snow,9806,Slippery,No,-,No,23.64,44.68
1723,11-09-2021 14:29,27.07376657,79.21801634,RD-48,12,118,Bus,High,Clear,6723,Under Maintenance,No,-,No,29.1,37.89
1724,14-06-2021 11:52,32.94809044,76.15666041,RD-179,321,78,Bus,Medium,Clear,3329,Dry,No,-,No,23.03,48.14
1725,19-07-2022 02:51,12.49380668,89.14959593,RD-114,293,28,Mixed,Very High,Rain,3732,Wet,No,-,No,40.76,83.71
1726,31-12-2018 20:47,34.28797883,91.08091871,RD-453,248,31,Mixed,Medium,Fog,4789,Under Maintenance,No,-,Yes,21.87,88.32
1727,11-04-2021 06:36,35.77828282,77.53959219,RD-110,253,115,Car,Medium,Fog,4313,Dry,No,-,No,35.28,81.56
1728,04-11-2019 23:07,34.29470916,86.06618329,RD-340,436,118,Mixed,High,Storm,719,Under Maintenance,No,-,No,49.9,36.6
1729,02-01-2020 01:33,30.77948931,73.17915031,RD-170,39,77,Car,Medium,Fog,7195,Under Maintenance,No,-,No,44.42,86.85
1730,02-02-2021 15:45,10.61882346,90.9380686,RD-170,352,116,Bike,Medium,Clear,5109,Dry,No,-,No,38.46,55.4
1731,27-04-2023 05:47,14.40120107,76.1562719,RD-185,411,20,Bike,Medium,Clear,7236,Under Maintenance,No,-,No,29.19,30.56
1732,09-07-2018 16:20,34.48092112,72.95768762,RD-151,14,6,Bus,High,Fog,1865,Wet,No,-,No,38.72,56.54
1733,26-12-2020 13:08,14.65330462,95.25888047,RD-112,351,35,Bike,Low,Storm,3702,Wet,No,-,No,35.81,32.76
1734,07-09-2019 18:17,18.08370694,80.25204415,RD-487,118,67,Mixed,Medium,Snow,8833,Under Maintenance,No,-,No,32.78,62.63
1735,08-05-2023 04:43,9.463829942,86.66149749,RD-386,326,51,Mixed,Medium,Fog,4639,Slippery,Yes,Minor,No,23.92,50.31
1736,18-02-2023 10:55,26.21469713,91.46718743,RD-317,266,23,Mixed,Medium,Snow,4018,Dry,No,-,No,46.6,58.41
1737,01-03-2019 17:23,24.33572675,87.8981272,RD-272,73,60,Truck,Low,Fog,3023,Slippery,No,-,No,33.49,66.79
1738,08-10-2018 14:18,35.89137837,84.37514157,RD-244,228,15,Mixed,Low,Snow,5597,Wet,No,-,No,25.84,82.13
1739,14-05-2023 20:00,33.87799442,78.77679031,RD-288,151,90,Bus,High,Clear,809,Wet,No,-,No,31.03,69.71
1740,08-12-2019 07:23,22.67237283,94.63716806,RD-422,306,97,Bus,Very High,Clear,6823,Dry,No,-,Yes,32.42,56.04
1741,14-10-2020 09:29,25.67078179,71.87271823,RD-386,263,99,Bike,Medium,Snow,6752,Wet,No,-,No,44.83,79.17
1742,23-04-2023 04:13,19.98270778,93.63367191,RD-333,82,12,Car,Very High,Rain,910,Dry,No,-,Yes,42.01,84.33
1743,15-07-2020 10:16,11.84131498,88.58561608,RD-5,461,78,Truck,Low,Clear,4452,Slippery,No,-,No,43.08,37.19
1744,07-11-2018 21:35,33.16592727,84.57090961,RD-59,190,10,Car,Very High,Storm,1196,Dry,Yes,-,No,20.33,61.92
1745,05-05-2023 23:14,23.93661885,77.41768508,RD-343,226,35,Truck,High,Storm,9384,Wet,No,-,No,32.48,47.07
1746,24-07-2020 07:19,20.33637159,72.23528052,RD-178,424,119,Bus,Low,Snow,4679,Slippery,Yes,Minor,Yes,34.44,32.82
1747,02-03-2019 22:40,9.985496775,80.85165611,RD-229,131,103,Bus,Medium,Rain,8090,Slippery,No,-,No,20.58,70.11
1748,23-06-2018 14:26,27.29611884,90.7290261,RD-124,324,54,Truck,Very High,Storm,7754,Dry,No,-,Yes,27.79,81.77
1749,11-10-2019 01:19,19.59028227,89.61398203,RD-464,233,108,Bike,Low,Clear,4019,Slippery,No,-,No,42.81,39.77
1750,27-06-2020 07:02,15.35718012,86.71782388,RD-329,459,33,Mixed,Low,Fog,8847,Under Maintenance,No,-,No,24.11,78.74
1751,25-03-2021 03:40,33.42584488,96.78249049,RD-315,249,25,Mixed,Very High,Fog,9191,Dry,No,-,No,36.06,81.2
1752,24-03-2022 12:07,13.3253232,96.20640835,RD-471,302,45,Car,Very High,Clear,8533,Slippery,No,-,No,26.46,84.86
1753,14-01-2022 16:56,22.93557636,79.60014136,RD-319,253,73,Bus,Very High,Rain,5737,Wet,No,-,No,20.36,45.92
1754,07-03-2021 08:32,31.07692454,73.58349594,RD-125,59,73,Mixed,Low,Snow,1420,Under Maintenance,No,-,No,27.24,84.24
1755,03-01-2022 21:31,32.62316842,81.45130982,RD-491,203,92,Bus,Medium,Clear,8674,Under Maintenance,No,-,No,49.28,49.24
1756,26-08-2022 08:12,31.7424566,92.49272168,RD-21,23,83,Bus,Low,Fog,4380,Under Maintenance,No,-,No,44.05,63.14
1757,05-08-2023 00:57,34.00216372,81.29832954,RD-350,408,60,Bus,Medium,Snow,6720,Wet,No,-,No,48.79,33.03
1758,24-08-2020 14:53,12.12836395,77.74347699,RD-454,290,32,Mixed,Very High,Rain,4884,Under Maintenance,No,-,Yes,34.64,32.63
1759,27-01-2020 14:56,35.27329744,89.49571352,RD-165,467,38,Mixed,Very High,Storm,6944,Under Maintenance,Yes,-,No,23.29,73.22
1760,28-10-2022 20:34,8.313285042,86.85398494,RD-196,357,60,Mixed,High,Fog,9201,Under Maintenance,No,-,Yes,36.44,56.67
1761,18-11-2022 01:28,15.42121605,96.09223243,RD-469,249,81,Truck,Medium,Rain,2055,Wet,No,-,Yes,33.63,45.38
1762,27-03-2020 04:53,10.43712364,83.92853946,RD-408,17,59,Mixed,Very High,Clear,4019,Slippery,Yes,Fatal,No,45.33,41.42
1763,09-05-2023 07:59,35.42046092,96.05669354,RD-484,195,48,Bus,Medium,Rain,5879,Wet,No,-,No,22.94,70.2
1764,05-05-2018 03:29,20.29413395,76.43715303,RD-59,387,36,Bus,Medium,Rain,9432,Wet,No,-,No,34.65,30.02
1765,20-02-2018 20:05,17.14281274,93.07990065,RD-198,257,90,Car,Medium,Snow,3542,Wet,No,-,Yes,24.5,78.35
1766,14-11-2021 11:17,12.84553644,78.17682937,RD-132,449,33,Bike,Medium,Fog,737,Slippery,No,-,Yes,29.74,34.75
1767,13-08-2020 21:20,12.51871932,91.48059653,RD-277,407,7,Truck,Low,Fog,6442,Slippery,No,-,No,42.12,41.49
1768,26-06-2022 04:18,25.8040189,94.85359935,RD-371,93,73,Car,High,Rain,9555,Wet,No,-,Yes,34.28,53.17
1769,07-06-2020 07:30,9.365440825,86.07254145,RD-145,51,118,Truck,Medium,Clear,707,Wet,No,-,No,31.28,59.09
1770,06-04-2020 09:06,25.23558088,89.12792354,RD-13,278,15,Truck,Medium,Rain,2193,Wet,No,-,Yes,31.83,51.3
1771,11-08-2021 05:43,30.46483179,95.80055125,RD-467,28,52,Bus,High,Clear,7312,Slippery,No,-,No,33.78,49.24
1772,24-11-2022 02:04,25.42943114,78.87953742,RD-265,43,109,Bus,Very High,Snow,2089,Wet,No,-,Yes,43.55,87.83
1773,14-01-2018 18:47,31.97078427,82.83592804,RD-421,483,57,Bus,Medium,Fog,7580,Dry,Yes,Major,No,46.76,68.49
1774,12-04-2021 11:49,15.69250242,94.0504657,RD-395,366,60,Bus,Very High,Fog,7720,Under Maintenance,No,-,Yes,48.66,31.41
1775,25-01-2020 00:15,10.23797401,87.51166101,RD-192,183,57,Car,Low,Fog,9332,Wet,No,-,No,43.61,55.81
1776,14-05-2021 21:01,28.90872789,93.33414204,RD-264,225,30,Bike,High,Fog,902,Dry,No,-,No,29.46,82.5
1777,13-10-2020 07:49,32.01578132,85.92938067,RD-412,382,13,Bike,Low,Snow,9955,Slippery,No,-,No,40.64,48.09
1778,19-10-2023 15:30,22.54861956,89.45223038,RD-261,320,112,Car,Very High,Rain,4079,Slippery,No,-,No,33.13,35.67
1779,20-01-2023 04:17,31.79789126,68.37881056,RD-229,478,79,Bike,High,Fog,7225,Dry,No,-,Yes,27.64,75.5
1780,21-08-2018 19:35,21.27965551,77.85052076,RD-250,457,69,Mixed,Low,Storm,5925,Slippery,Yes,Fatal,No,45.23,66.36
1781,11-11-2021 08:27,13.75730138,90.34220137,RD-23,194,106,Mixed,Very High,Clear,1489,Dry,No,-,No,21.15,64.22
1782,19-09-2020 01:51,21.75742651,79.71623056,RD-152,481,113,Mixed,Very High,Clear,2131,Under Maintenance,No,-,No,47.05,33.21
1783,11-01-2019 06:36,14.26256882,78.52255507,RD-460,209,60,Bus,High,Fog,2735,Dry,Yes,-,No,33.84,38.43
1784,02-05-2019 21:01,21.68891555,95.59501484,RD-334,457,32,Mixed,High,Clear,3784,Wet,No,-,Yes,39.12,67.35
1785,03-09-2020 16:55,12.27899522,84.02390626,RD-99,106,27,Truck,Very High,Clear,1296,Wet,No,-,No,39.78,42.47
1786,26-01-2023 01:51,13.38130007,73.58227047,RD-165,142,35,Truck,Very High,Snow,9627,Under Maintenance,No,-,Yes,46.85,60.24
1787,12-09-2020 02:41,33.6044702,81.69457398,RD-264,482,70,Car,Low,Clear,3865,Slippery,No,-,No,39.1,62.69
1788,19-01-2019 11:43,11.35988724,83.04146703,RD-43,52,65,Truck,Low,Snow,7076,Wet,No,-,No,38.42,47.01
1789,19-12-2022 09:46,14.50395412,96.67321739,RD-486,113,86,Car,Very High,Clear,2104,Slippery,No,-,No,22,86.91
1790,02-01-2023 14:23,36.87008147,88.82836663,RD-50,26,20,Bike,Medium,Snow,595,Under Maintenance,No,-,No,35.55,80.55
1791,08-07-2020 10:37,24.70453697,83.06266179,RD-86,98,63,Truck,High,Clear,5887,Slippery,No,-,No,24.51,73.34
1792,07-02-2019 01:37,24.9887573,80.52773207,RD-498,499,110,Truck,High,Storm,8236,Under Maintenance,No,-,No,42.12,34.68
1793,07-06-2020 04:56,32.50415542,94.54935371,RD-490,183,85,Car,High,Rain,3182,Slippery,No,-,Yes,35.37,36.37
1794,25-06-2018 22:26,23.20526946,86.73229121,RD-396,170,52,Truck,Very High,Snow,7807,Slippery,No,-,No,40.41,59.57
1795,25-10-2022 16:40,14.43167665,78.32651687,RD-276,334,21,Car,Low,Storm,1535,Dry,No,-,No,21.25,39.64
1796,17-11-2019 09:55,20.25153013,81.47428049,RD-274,280,115,Truck,Low,Rain,8295,Dry,No,-,No,22.54,88.7
1797,17-01-2019 08:40,29.89503636,76.06561872,RD-4,51,39,Bus,High,Rain,9960,Wet,No,-,No,41.49,39.51
1798,27-09-2019 09:28,33.30100471,95.85243176,RD-321,408,99,Bike,Medium,Storm,5215,Under Maintenance,Yes,Minor,No,22.16,59.25
1799,14-09-2019 00:12,15.92291092,88.35640747,RD-34,458,103,Truck,High,Fog,9605,Under Maintenance,No,-,No,22.14,51.85
1800,31-03-2023 11:19,15.59728266,79.37664961,RD-108,200,63,Bike,High,Fog,5793,Under Maintenance,No,-,No,20.36,68.36
1801,29-06-2022 03:25,17.50063798,73.31318287,RD-344,65,92,Truck,High,Snow,3785,Slippery,Yes,-,No,48.7,37.74
1802,21-06-2019 13:56,25.2901103,73.13355346,RD-323,180,45,Truck,Medium,Fog,5371,Dry,No,-,Yes,42.13,55.82
1803,24-10-2020 17:33,16.0767629,81.85452435,RD-397,91,41,Bus,High,Snow,4936,Dry,No,-,No,30.6,46.48
1804,05-09-2019 02:10,33.90097084,81.55944445,RD-110,463,117,Mixed,Low,Storm,1574,Under Maintenance,No,-,No,28.9,83.27
1805,26-03-2022 15:18,36.36222007,80.11587052,RD-443,299,34,Mixed,Medium,Fog,8771,Dry,No,-,No,30.49,32.44
1806,02-08-2021 16:55,27.69447775,92.70237483,RD-351,203,86,Bike,Medium,Fog,8484,Slippery,No,-,No,43.24,84.82
1807,18-04-2023 00:03,36.13869119,96.39631039,RD-218,474,95,Bike,Low,Clear,8884,Dry,No,-,No,39.84,79.98
1808,23-07-2019 20:30,16.34766359,78.28987202,RD-428,383,20,Bus,Very High,Clear,9547,Wet,No,-,No,25.56,47.85
1809,16-01-2022 20:36,31.63994024,76.54370839,RD-54,78,88,Car,Medium,Rain,5163,Under Maintenance,No,-,No,25.22,77.36
1810,03-11-2019 20:54,27.67489456,90.33321268,RD-106,29,109,Bike,Medium,Clear,1142,Under Maintenance,No,-,No,22.95,31.87
1811,29-09-2019 17:29,15.63256309,81.04399539,RD-276,151,51,Mixed,Medium,Storm,860,Slippery,No,-,No,39.81,88.01
1812,16-08-2019 18:49,17.23381113,74.30948919,RD-425,213,32,Bus,Very High,Snow,9811,Wet,No,-,No,42.93,61.6
1813,18-04-2020 07:41,22.17014433,73.24723861,RD-360,333,25,Car,High,Snow,7874,Dry,Yes,-,No,27.95,48.2
1814,07-11-2020 13:32,30.95765676,76.13646499,RD-450,306,45,Bus,Very High,Clear,8336,Slippery,Yes,Minor,Yes,20.63,51.75
1815,24-04-2019 17:21,33.29444581,68.03838523,RD-500,196,49,Mixed,Low,Clear,6424,Dry,No,-,No,22.47,33.98
1816,22-03-2021 15:55,26.38446427,95.30146822,RD-380,59,101,Bus,Low,Snow,7982,Dry,No,-,No,49.04,89.36
1817,03-03-2020 14:55,28.92571479,80.47721742,RD-397,211,116,Truck,Low,Rain,8176,Dry,No,-,No,28.86,32.36
1818,23-09-2019 15:24,15.65163659,70.40256799,RD-223,432,77,Mixed,Medium,Fog,3867,Under Maintenance,No,-,No,43.08,69.29
1819,03-05-2020 09:43,29.49107494,72.78375672,RD-332,167,68,Car,High,Rain,8846,Under Maintenance,No,-,No,38.74,56.56
1820,24-10-2022 14:54,25.54441458,77.37679647,RD-419,174,92,Bus,High,Storm,3775,Wet,Yes,Major,No,31.46,86.93
1821,17-02-2023 10:31,14.46470625,83.99912435,RD-482,312,17,Mixed,Medium,Storm,3855,Slippery,No,-,No,26.17,44.76
1822,26-01-2022 11:07,35.55542218,88.4077663,RD-37,135,98,Mixed,High,Fog,8694,Under Maintenance,No,-,No,23.64,61.93
1823,06-04-2022 12:37,22.87292867,76.92768448,RD-383,227,114,Car,Very High,Fog,3475,Slippery,No,-,No,38.45,58.94
1824,30-10-2018 19:14,31.03939856,95.77087798,RD-352,438,47,Mixed,Low,Rain,3319,Slippery,No,-,No,43.24,72.17
1825,20-03-2023 09:11,23.24277024,90.04904518,RD-79,322,101,Car,Low,Snow,8855,Slippery,No,-,No,39.32,34.08
1826,04-09-2019 17:09,35.05516477,91.94816433,RD-13,397,114,Mixed,Medium,Fog,8679,Wet,No,-,No,35.91,41.63
1827,29-10-2018 06:27,12.09710215,77.38572498,RD-236,271,62,Bus,Medium,Rain,7373,Slippery,No,-,No,21.26,42.87
1828,21-02-2019 19:23,23.83848415,79.04787497,RD-368,408,92,Car,Medium,Rain,9759,Wet,No,-,No,49.05,74.29
1829,06-05-2023 02:22,8.72949506,83.60379175,RD-170,118,24,Car,Medium,Snow,5171,Slippery,No,-,Yes,43.96,41.35
1830,21-02-2022 18:34,13.72441418,81.09921189,RD-20,438,118,Mixed,Low,Rain,9873,Under Maintenance,No,-,No,28.78,64.41
1831,06-11-2022 16:07,16.14976863,75.53686194,RD-45,91,67,Truck,Medium,Storm,6052,Wet,No,-,No,49.4,42.91
1832,29-11-2021 07:26,21.70569206,96.92085661,RD-38,346,5,Car,Low,Snow,5840,Under Maintenance,No,-,No,38.06,81.7
1833,14-02-2023 03:23,31.78500707,92.60236977,RD-28,453,27,Truck,High,Clear,7252,Under Maintenance,No,-,Yes,37.47,86.53
1834,31-05-2020 15:27,21.53298052,74.90163299,RD-92,490,37,Bike,Very High,Rain,3849,Dry,No,-,No,42.44,61.11
1835,11-09-2019 18:02,24.27442879,93.8795578,RD-407,109,61,Bus,High,Fog,1969,Dry,No,-,No,44.35,51.14
1836,05-07-2023 05:21,34.79757646,85.01969302,RD-129,116,85,Truck,Very High,Fog,7371,Under Maintenance,No,-,No,39.69,44.04
1837,27-07-2022 12:28,29.93944147,68.36429942,RD-286,354,58,Bus,Medium,Snow,9173,Wet,No,-,No,23.84,32.99
1838,22-11-2021 02:01,9.455898258,78.03839005,RD-37,124,70,Car,Low,Fog,224,Wet,No,-,No,30.15,46.11
1839,17-11-2023 18:20,13.11741513,68.74625002,RD-295,421,99,Bus,Very High,Fog,9617,Wet,No,-,No,47.84,69.25
1840,11-01-2020 13:06,9.108307852,70.54534541,RD-421,342,35,Truck,Low,Clear,6989,Wet,No,-,Yes,26.74,62.02
1841,23-07-2020 23:26,10.00263156,73.19034189,RD-117,297,58,Car,High,Fog,1996,Under Maintenance,No,-,No,31.17,86.64
1842,07-07-2022 00:00,17.82678926,82.04756067,RD-467,441,20,Truck,Medium,Snow,5212,Slippery,No,-,No,32.96,53.78
1843,05-10-2019 14:08,29.10789661,79.05737251,RD-133,412,41,Car,Medium,Snow,3166,Slippery,No,-,No,33.18,71.63
1844,03-09-2019 06:40,15.08623389,72.32088899,RD-209,40,105,Truck,Very High,Storm,6380,Under Maintenance,No,-,No,38.39,59.36
1845,10-06-2021 04:47,19.37630161,79.44210733,RD-199,216,11,Car,High,Rain,3354,Dry,No,-,No,48.29,60.75
1846,21-05-2018 06:51,19.42236518,76.82584524,RD-231,453,104,Truck,Medium,Rain,9592,Dry,No,-,Yes,27.22,46.07
1847,15-06-2020 15:31,25.11888996,79.89452223,RD-323,53,5,Bike,High,Rain,7579,Slippery,No,-,Yes,23.65,57.3
1848,05-04-2022 16:17,33.89465121,72.9970157,RD-208,416,98,Truck,High,Snow,8017,Wet,Yes,Fatal,No,25.92,58.25
1849,19-09-2021 12:30,36.51359122,85.68162012,RD-222,497,22,Truck,Low,Fog,6235,Wet,No,-,No,46.61,72.4
1850,13-07-2018 11:07,25.53371797,69.29140554,RD-162,36,46,Bike,High,Rain,1143,Wet,No,-,No,39.37,86.44
1851,17-12-2018 08:07,22.64704392,79.24843914,RD-9,138,43,Bus,High,Fog,8982,Under Maintenance,No,-,No,28.58,49.76
1852,18-02-2023 13:49,27.77439487,93.95168453,RD-200,159,30,Car,High,Fog,6439,Slippery,No,-,No,44.48,32.53
1853,07-02-2019 05:51,27.37290618,80.170438,RD-345,401,79,Truck,High,Storm,9554,Under Maintenance,No,-,Yes,45.84,59.78
1854,18-08-2022 16:01,23.19443002,80.79131816,RD-61,334,69,Bus,Medium,Rain,7611,Slippery,No,-,No,45.4,62.67
1855,27-08-2021 21:34,29.37173267,69.97225098,RD-274,289,61,Mixed,Low,Snow,4516,Under Maintenance,No,-,No,47.57,40.11
1856,27-11-2018 14:18,22.24687069,85.55556455,RD-4,133,106,Bus,Very High,Snow,8879,Dry,No,-,No,27.57,75.63
1857,09-12-2019 14:14,36.89729436,95.15568119,RD-329,298,73,Mixed,Low,Storm,494,Under Maintenance,No,-,Yes,42.65,89.1
1858,22-06-2021 21:14,9.4209218,76.4567015,RD-369,405,90,Car,Medium,Rain,8776,Dry,Yes,Fatal,No,33.82,86.75
1859,24-12-2021 00:01,20.85325303,79.40429781,RD-317,269,81,Mixed,Medium,Fog,4871,Under Maintenance,No,-,No,45.26,41.83
1860,20-07-2021 01:42,19.51370597,85.05658496,RD-33,73,21,Bike,Very High,Rain,758,Dry,No,-,No,41.85,82.52
1861,17-09-2023 17:36,30.33881475,70.70312364,RD-388,216,118,Bike,Medium,Snow,4266,Under Maintenance,Yes,-,No,43.29,72.27
1862,15-10-2018 07:11,13.53393534,95.55822002,RD-382,325,11,Bus,Medium,Snow,6419,Slippery,No,-,Yes,39.68,57.23
1863,17-08-2021 07:40,20.58818944,81.56030354,RD-300,402,106,Bike,Low,Snow,8858,Slippery,No,-,No,25.32,62.44
1864,10-05-2020 18:46,28.24039156,71.33779283,RD-24,51,75,Bike,Low,Fog,4285,Slippery,No,-,No,36.35,80.98
1865,10-11-2020 04:50,25.49256412,77.72159046,RD-359,318,16,Bus,Low,Snow,5169,Wet,No,-,No,49.54,58.81
